Total,Pass,Treat1,Treat2,Dose1,Dose2
40,31,A,X,3,8
49,40,A,Y,7,5
46,21,B,Y,4,5
43,33,A,X,5,6
52,41,A,Y,3,5
58,45,A,X,7,7
40,32,A,Y,8,6
58,46,A,X,5,5
46,36,A,X,8,7
58,45,A,X,8,8
40,18,B,Y,9,7
46,37,A,X,4,6
58,45,A,X,5,6
43,33,A,Y,8,6
46,1,B,X,4,8
55,14,B,X,5,6
49,40,A,X,3,7
58,9,B,X,6,8
40,30,A,Y,7,6
43,34,A,X,7,5
49,26,B,X,7,6
40,31,A,Y,7,7
43,33,A,Y,8,7
58,46,A,X,4,5
58,26,B,Y,4,6
40,18,B,Y,8,7
46,38,A,Y,10,7
46,36,A,X,4,6
43,34,A,Y,6,7
43,35,B,X,9,6
52,24,B,Y,9,6
40,31,A,Y,10,7
40,32,A,X,4,6
46,35,A,Y,7,7
43,20,B,Y,6,6
46,37,A,Y,5,6
58,26,B,Y,4,7
49,38,A,X,4,8
58,44,A,Y,10,6
43,35,A,Y,7,7
46,37,A,Y,4,7
55,25,B,Y,4,5
40,34,B,X,10,7
46,21,B,Y,7,6
40,32,A,Y,6,6
40,30,A,X,9,6
40,2,B,X,3,7
46,21,B,Y,4,7
40,31,A,X,9,7
52,10,B,X,6,7
58,26,B,Y,5,6
55,44,A,X,4,8
49,9,B,X,7,8
43,20,B,Y,9,6
52,42,A,X,7,5
55,43,A,X,6,5
46,21,B,Y,4,5
55,42,A,Y,3,6
49,38,A,X,7,7
58,2,B,X,3,7
43,34,A,Y,7,7
46,21,B,Y,8,6
55,25,B,Y,4,6
55,11,B,X,7,8
46,35,A,Y,9,5
40,32,A,X,5,5
55,44,A,Y,4,6
46,3,B,X,4,7
43,32,A,X,6,6
55,44,A,X,9,6
49,23,B,Y,8,7
40,31,A,Y,8,6
55,25,B,Y,9,6
40,18,B,Y,5,8
46,21,B,Y,4,8
43,19,B,Y,9,5
52,24,B,Y,5,6
52,24,B,Y,5,7
55,25,B,Y,9,7
40,28,B,X,8,6
49,22,B,Y,4,7
49,3,B,X,4,8
58,44,A,Y,5,8
58,45,A,X,7,8
55,43,A,Y,3,6
49,38,B,X,9,6
52,37,B,X,7,5
40,30,A,Y,10,7
40,18,B,Y,9,7
55,42,A,Y,6,8
43,19,B,Y,5,7
52,12,B,X,5,6
49,3,B,X,5,8
49,22,B,Y,4,5
43,3,B,X,3,7
58,47,B,X,9,6
49,5,B,X,5,7
49,25,B,X,9,8
52,24,B,Y,3,6
49,38,A,Y,4,7
