Total,Pass,Treat1,Treat2,Dose1,Dose2
40,21,B,Y,5,6
46,29,A,Y,4,8
58,36,A,X,3,8
55,38,B,X,5,8
49,25,B,Y,6,6
52,27,B,Y,4,5
58,36,A,Y,7,7
46,42,B,X,8,7
49,25,B,Y,6,6
43,26,A,Y,9,7
49,31,A,X,10,6
40,25,A,X,3,6
52,27,B,Y,9,6
52,49,B,X,9,7
40,25,A,X,8,8
55,51,B,X,8,6
58,53,B,X,8,6
55,28,B,X,3,7
43,27,A,X,9,7
43,40,B,X,8,7
40,25,A,X,6,7
55,34,A,Y,4,6
52,29,B,X,3,6
55,28,B,X,3,7
40,25,A,X,9,7
40,25,A,Y,7,6
55,35,A,Y,5,7
46,39,B,X,6,6
49,38,B,X,5,7
46,29,A,X,9,8
58,30,B,Y,7,6
52,33,A,Y,3,8
55,35,A,X,5,8
52,49,B,X,8,7
52,27,B,Y,3,5
40,25,A,Y,10,7
40,26,B,X,4,7
49,25,B,Y,7,7
55,34,A,Y,6,7
55,35,A,X,8,7
46,24,B,Y,4,8
52,32,A,X,3,6
46,29,A,Y,5,8
58,36,A,Y,4,6
43,22,B,Y,7,8
40,24,A,Y,4,5
52,33,A,Y,10,6
40,21,B,Y,5,7
52,27,B,Y,4,5
49,25,B,Y,9,7
43,37,B,X,6,7
52,41,B,X,5,6
58,35,A,X,7,5
43,22,B,Y,5,8
43,22,B,Y,7,6
46,28,A,X,8,5
43,27,A,Y,7,7
49,47,B,X,9,7
40,21,B,Y,4,7
52,32,A,X,7,7
52,33,A,X,9,6
58,36,A,X,3,5
52,32,A,Y,8,5
43,27,A,Y,4,7
40,28,B,X,5,7
43,22,B,Y,7,7
58,34,A,Y,7,6
52,27,B,Y,4,6
43,22,B,Y,5,8
46,28,A,X,8,6
58,37,A,Y,4,5
58,35,A,X,8,5
43,22,B,Y,5,7
52,42,B,X,6,7
52,27,B,Y,4,6
52,32,A,Y,8,5
43,22,B,Y,7,6
58,36,A,Y,6,6
49,31,A,Y,6,7
58,30,B,Y,10,5
55,34,A,X,7,6
49,48,B,X,9,6
55,32,B,X,3,5
43,26,A,Y,10,7
43,28,A,Y,9,5
52,32,A,X,5,6
40,25,A,X,6,5
55,33,A,Y,9,7
40,21,B,Y,7,7
52,32,A,Y,8,8
43,22,B,Y,6,6
40,21,B,Y,9,7
52,33,A,X,4,6
40,21,B,Y,7,6
52,34,A,Y,5,8
46,29,A,Y,10,8
46,28,A,X,8,7
40,25,A,X,6,6
49,47,B,X,9,5
49,25,B,Y,8,7
