Total,Pass,Treat1,Treat2,Dose1,Dose2
49,38,A,Y,4,5
46,37,A,Y,3,7
46,35,A,X,5,7
40,32,A,X,9,5
40,32,A,Y,6,8
46,37,A,Y,4,6
58,48,A,X,5,6
46,38,A,Y,5,8
52,40,A,Y,6,6
43,30,B,X,10,8
52,24,B,Y,9,7
46,21,B,Y,8,8
55,40,B,X,9,7
52,24,B,Y,6,8
46,36,A,X,8,6
40,30,A,Y,6,8
43,35,A,Y,10,8
49,37,B,X,8,6
40,32,A,Y,9,7
58,26,B,Y,3,8
55,26,B,Y,9,7
46,37,A,X,7,6
58,49,B,X,9,6
43,19,B,Y,10,5
40,21,B,X,7,6
40,29,B,X,9,7
40,5,B,X,7,8
52,24,B,Y,7,6
43,34,A,Y,6,8
55,39,B,X,7,5
43,42,B,X,10,5
58,26,B,Y,7,7
40,32,A,X,5,5
55,44,A,Y,4,7
40,33,A,X,5,7
40,32,A,X,8,7
58,27,B,Y,5,8
43,35,A,Y,9,7
58,51,B,X,9,6
46,36,A,X,7,6
58,27,B,Y,3,7
49,23,B,Y,4,8
55,25,B,Y,8,5
43,7,B,X,7,8
52,41,A,Y,4,6
55,9,B,X,6,7
58,48,A,X,7,6
58,45,A,Y,6,6
52,50,B,X,9,5
49,23,B,Y,4,8
55,25,B,Y,7,6
49,40,A,X,5,5
40,32,A,X,8,6
40,33,A,X,4,7
43,5,B,X,7,8
40,18,B,Y,8,7
49,38,A,X,10,7
43,6,B,X,6,7
43,35,A,X,5,5
46,37,A,X,10,8
49,3,B,X,5,8
58,47,A,Y,10,7
58,2,B,X,3,6
43,37,B,X,9,6
40,33,A,Y,6,8
40,21,B,X,7,6
58,27,B,Y,4,7
46,36,A,Y,9,7
43,36,A,X,4,8
58,0,B,X,3,8
40,33,A,X,6,6
40,32,A,X,8,8
58,8,B,X,6,7
58,27,B,Y,9,6
46,1,B,X,4,7
55,25,B,Y,8,8
49,22,B,Y,10,7
52,43,B,X,10,7
49,38,A,X,9,7
55,43,A,Y,3,8
43,35,A,X,4,6
40,18,B,Y,7,6
43,20,B,Y,8,7
58,47,A,X,10,7
46,37,A,X,8,6
40,31,A,X,5,7
49,1,B,X,4,7
55,38,B,X,9,7
40,32,A,Y,5,7
49,38,A,X,7,8
58,6,B,X,5,7
49,23,B,X,9,8
52,24,B,Y,7,7
58,9,B,X,6,7
43,20,B,Y,3,8
58,46,A,X,3,8
55,47,B,X,10,7
49,22,B,Y,7,7
55,43,A,Y,4,6
43,32,A,Y,7,5
